"date","index","mom","yoy"
2010m1,150.35600280761719000,1.314,17.098
2010m2,153.54699707031250000,2.122,20.895
2010m3,156.13800048828125000,1.687,20.188
2010m4,161.51800537109375000,3.446,22.381
2010m5,164.35600280761719000,1.757,22.964
2010m6,168.84599304199219000,2.732,25.223
2010m7,173.04499816894531000,2.487,26.865
2010m8,176.77400207519531000,2.155,24.971
2010m9,178.96699523925781000,1.241,24.984
2010m10,181.51300048828125000,1.423,25.465
2010m11,184.94799804687500000,1.892,25.989
2010m12,186.91600036621094000,1.064,25.949
2011m1,189.69099426269531000,1.485,26.161
2011m2,192.91299438476562000,1.699,25.638
2011m3,197.63000488281250000,2.445,26.574
2011m4,202.29299926757813000,2.359,25.245
2011m5,206.11700439453125000,1.890,25.409
2011m6,209.71899414062500000,1.748,24.207
2011m7,215.40100097656250000,2.709,24.477
2011m8,219.30499267578125000,1.812,24.060
2011m9,222.46800231933594000,1.442,24.307
2011m10,224.56300354003906000,0.942,23.717
2011m11,229.11999511718750000,2.029,23.883
2011m12,232.42399597167969000,1.442,24.347
2012m1,236.77600097656250000,1.872,24.822
2012m2,238.84100341796875000,0.872,23.808
2012m3,247.86099243164062000,3.777,25.417
2012m4,254.61900329589844000,2.727,25.866
2012m5,259.21701049804687000,1.806,25.762
2012m6,263.66299438476562000,1.715,25.722
2012m7,270.65399169921875000,2.651,25.651
2012m8,278.05200195312500000,2.733,26.788
2012m9,282.74301147460937000,1.687,27.094
2012m10,285.90899658203125000,1.120,27.318
2012m11,288.71200561523438000,0.980,26.009
2012m12,292.00900268554687000,1.142,25.636
2013m1,298.01098632812500000,2.055,25.862
2013m2,297.64401245117187000,-0.123,24.620
2013m3,298.84298706054687000,0.403,20.569
2013m4,300.93798828125000000,0.701,18.191
2013m5,306.48800659179687000,1.844,18.236
2013m6,318.97299194335937000,4.074,20.978
2013m7,326.12200927734375000,2.241,20.494
2013m8,330.94900512695312000,1.480,19.024
2013m9,336.23800659179687000,1.598,18.920
2013m10,340.64401245117187000,1.310,19.144
2013m11,350.53100585937500000,2.902,21.412
2013m12,362.96200561523437000,3.546,24.298
2014m1,382.56900024414062000,5.402,28.374
2014m2,405.23800659179687000,5.925,36.149
2014m3,417.07299804687500000,2.921,39.563
2014m4,424.45700073242187000,1.770,41.045
2014m5,433.84698486328125000,2.212,41.554
2014m6,440.41299438476562000,1.513,38.072
2014m7,449.72601318359375000,2.115,37.901
2014m8,460.89199829101562000,2.483,39.264
2014m9,471.65499877929687000,2.335,40.274
2014m10,483.26400756835937000,2.461,41.868
2014m11,491.53298950195312000,1.711,40.225
2014m12,499.36700439453125000,1.594,37.581
2015m1,511.03100585937500000,2.336,33.579
2015m2,516.35198974609375000,1.041,27.419
2015m3,527.86499023437500000,2.230,26.564
2015m4,538.36901855468750000,1.990,26.837
2015m5,547.59600830078125000,1.714,26.219
2015m6,559.90399169921875000,2.248,27.132
2015m7,572.32098388671875000,2.218,27.260
2015m8,584.32501220703125000,2.097,26.781
2015m9,594.37597656250000000,1.720,26.019
2015m10,605.29901123046875000,1.838,25.252
2015m11,617.57299804687500000,2.028,25.642
2015m12,638.88397216796875000,3.451,27.939
2016m1,679.16601562500000000,6.305,32.901
2016m2,695.47198486328125000,2.401,34.690
2016m3,715.01300048828125000,2.810,35.454
2016m4,734.60400390625000000,2.740,36.450
2016m5,752.58197021484375000,2.447,37.434
2016m6,764.83697509765625000,1.628,36.601
2016m7,770.59899902343750000,0.753,34.645
2016m8,794.63000488281250000,3.118,35.991
2016m9,807.03302001953125000,1.561,35.778
2016m10,819.43597412109375000,1.537,35.377
2016m11,834.06097412109375000,1.785,35.055
2016m12,845.23901367187500000,1.340,32.299
2017m1,870.12597656250000000,2.944,28.117
2017m2,876.89898681640625000,0.778,26.087
2017m3,892.99700927734375000,1.836,24.892
2017m4,910.70898437500000000,1.983,23.973
2017m5,925.78997802734375000,1.656,23.015
2017m6,939.70001220703125000,1.503,22.863
2017m7,954.93200683593750000,1.621,23.921
2017m8,973.33801269531250000,1.927,22.489
2017m9,985.34997558593750000,1.234,22.095
2017m10,1.00708898925781e+03,2.206,22.900
2017m11,1.01741497802734e+03,1.025,21.983
2017m12,1.03093896484375e+03,1.329,21.970
2018m1,1.05906994628906e+03,2.729,21.715
2018m2,1.06984802246094e+03,1.018,22.004
2018m3,1.09076403808594e+03,1.955,22.146
